,toi,toipfx,pl_tranmid,pl_trandurh,pl_orbper,pl_trandep,pl_rade,st_teff,st_logg,st_rad,ra,dec,st_pmra,st_pmdec,pl_tranmiderr1,pl_tranmiderr2,pl_orbpererr1,pl_orbpererr2,pl_radeerr1,pl_radeerr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2
62,EPIC 201456770.01,EPIC 201456770,2457586.039304,2.5,8.006875,,2.384,5403.0,4.538,0.846,185.6973984,-0.1218824,-9.3668,3.95999,0.007062,-0.006925,0.001371,-0.001314,0.21,-0.189,138.0,-138.0,0.15,-0.15,0.056,-0.051,0.0680306,-0.0680306,0.0368729,-0.0368729
63,EPIC 201488365.01,HIP 54766,2456812.224,7.4,3.3643115,35200.0,85.6,6240.0,,1.32,168.187478,0.3478732,-96.7394,-32.3315,,,,,,,,,,,,,0.0933019,-0.0933019,0.0731014,-0.0731014
64,EPIC 201497682 b,EPIC 201497682,2456850.0263,,2.13174,,0.692,,,,168.9366786,0.4880606,11.1495,-12.0384,0.0028,-0.0026,0.00022,-0.00022,0.059,-0.048,,,,,,,0.0481949,-0.0481949,0.0319422,-0.0319422
65,EPIC 201497682.01,EPIC 201497682,2456820.957,2.84,13.837814,66.3,1.96,4535.0,,0.7,168.9366786,0.4880606,11.1495,-12.0384,,,,,,,,,,,,,0.0481949,-0.0481949,0.0319422,-0.0319422
66,EPIC 201497682.01,EPIC 201497682,2456820.9555,2.52,13.8394,48.7,1.29,,,0.554,168.9366786,0.4880606,11.1495,-12.0384,0.0049,-0.005,0.003,-0.0029,0.11,-0.17,,,,,0.016,-0.023,0.0481949,-0.0481949,0.0319422,-0.0319422
67,EPIC 201497682.02,EPIC 201497682,2456814.2678,3.0,7.79983,56.099999999999994,1.37,,,0.554,168.9366786,0.4880606,11.1495,-12.0384,0.0043,-0.0045,0.00075,-0.00073,0.15,-0.44,,,,,0.016,-0.023,0.0481949,-0.0481949,0.0319422,-0.0319422
68,EPIC 201497682.02,EPIC 201497682,2456814.271,2.94,7.7991586,42.3,1.57,4535.0,,0.7,168.9366786,0.4880606,11.1495,-12.0384,,,,,,,,,,,,,0.0481949,-0.0481949,0.0319422,-0.0319422
69,EPIC 201497682.04,EPIC 201497682,2456810.85,2.03,3.883,32.2,1.06,,,0.554,168.9366786,0.4880606,11.1495,-12.0384,0.0047,-0.0047,0.00032,-0.00032,0.095,-0.153,,,,,0.016,-0.023,0.0481949,-0.0481949,0.0319422,-0.0319422
70,EPIC 201512465.01,EPIC 201512465,2456812.482,1.4,2.3330982,993.0,5.48,3726.0,,0.5,173.5625041,0.7138555,-106.822,-23.5307,,,,,,,,,,,,,0.441492,-0.441492,0.222722,-0.222722
71,EPIC 201512465.01,EPIC 201512465,2456810.1516,1.2096,2.33293,,3.2,3508.0,5.062,0.224,173.5625041,0.7138555,-106.822,-23.5307,0.003,-0.003,0.00014,-0.00014,5.2,-5.2,94.0,-94.0,0.05,-0.05,0.025,-0.025,0.441492,-0.441492,0.222722,-0.222722
