pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec
1.814553,,2456773.01721,1.289,4618.0,10.0566,,99.5551497,18.2284424
17.1541,,2456778.8849,1.948,4930.0,16.1325,,93.8869534,27.4102179
12.1507,1.48,2456779.5445,0.029,,0.83,,104.3167135,20.1241138
2.4343734,61.4,2456774.131,38.7,5568.0,0.9,,94.4496805,25.6025195
1.8490876,17.3,2456772.183,2.74,5693.0,0.96,,97.0056091,16.3888806
2.620724,11.7,2456772.299,0.889,6013.0,1.14,,95.6412795,14.7417216
2.620799,37.0,2456772.29873,0.941,,1.725,,95.6412795,14.7417216
2.62077,58.0,2456769.67792,,6302.0,1.4,4.23,95.6412795,14.7417216
1.314437,3.09990986,2456772.77582,,6009.0,1.472064,4.09,91.4535759,23.4845208
1.3144014,2.78,2456772.776,0.0426,6137.0,1.23,,91.4535759,23.4845208
4.8045244,3.62,2456773.449,0.0678,6187.0,1.28,,101.0791483,28.1135803
6.14818,,2456777.67006,0.1513,6591.31,2.29043,,90.2285333,23.9387495
1.49761,,2456772.3826,0.02228,,,,99.9899769,17.1809487
6.479656,3.33165021,2456773.38319,,5586.0,0.921539,4.5,91.3638053,21.2560107
6.48167,3.46,2456773.3779,0.1249,,0.922,,91.3638053,21.2560107
6.4804111,3.39,2456773.382,0.121,5537.0,0.89,,91.3638053,21.2560107
2.8445331,65.3,2456772.339,26.5,6045.0,1.16,,103.0523211,25.3390548
0.6687,2.22,2456772.2339,0.01196,,1.942,,104.4368858,24.2657613
13.3461,42.0,2456779.48747,0.5465,,2.575,,92.6124668,16.865197
4.13737,24.5,2456774.31149,1.049,,1.03,,98.2743565,16.8702315
4.1376047,7.33,2456774.311,0.911,4581.0,0.7,,98.2743565,16.8702315
2.469851,6.6,2456774.54812,0.1234,,1.479,,96.1610663,21.1257415
0.690458,,2456772.40441,0.6655,6912.12,1.50882,,100.4631493,27.0971763
0.689647,6.58,2456775.19753,,6481.0,1.08,4.0,100.4631493,27.0971763
4.1687922,16.1,2456774.07,1.69,6005.0,1.14,,102.2013162,17.1618942
21.17051,81.0,2456780.92731,1.5771,,2.536,,104.7032827,19.1929542
5.31937553733,19.66846395,2459550.580295,0.6537084,6350.0,2.36934,3.78918,96.679195,25.2050015
