,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandep,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
5970,5.111293,48.767772,-6.868,0.067,-0.067,-25.703,0.043,-0.043,2459878.34576,0.000617,-0.000617,5.1570194,0.0002571,-0.0002571,2.42,16586.0,12.0548,0.902532,-0.902532,4476.1,112.6,-112.6,4.38,0.09,-0.09,0.89,0.07,-0.07
5971,345.655117,50.104928,4.392,0.04,-0.04,2.4,0.036,-0.036,2459881.309267,0.002935,-0.002935,2.4784193,1.01e-05,-1.01e-05,1.687,3910.0,12.5391,,,6115.0,123.0,-123.0,4.04,,,1.69,,
5972,125.305054,-46.484296,-4.633,0.052,-0.052,-17.577,0.053,-0.053,2460006.078147,0.000253,-0.000253,6.4025295,1.4e-06,-1.4e-06,3.9233956,3814.9508945,9.3002413,0.3856935,-0.3856935,7056.0,206.0,-206.0,4.33435,0.325246,-0.325246,1.4072,0.0580025,-0.0580025
5973,331.110391,49.687144,-5.265,0.051,-0.051,-9.986,0.047,-0.047,2459868.567359,0.003511,-0.003511,19.6518502,0.0027925,-0.0027925,2.525,3125.0,8.79457,0.679741,-0.679741,6359.0,159.0,-159.0,4.15,0.09,-0.09,1.56,0.07,-0.07
5974,26.657289,22.743059,0.119,0.059,-0.059,3.048,0.06,-0.06,2460223.782824,0.009327,-0.009327,9.8326403,0.000115,-0.000115,4.827,2767.0,6.80252,0.500916,-0.500916,5966.4,107.1,-107.1,4.18,0.07,-0.07,1.41,0.07,-0.07
5975,4.699535,22.354492,-2.238,0.075,-0.075,-1.886,0.07,-0.07,2459878.774673,0.002865,-0.002865,9.4321076,0.0022332,-0.0022332,3.852,7052.0,11.0911,0.655459,-0.655459,6704.0,131.6,-131.6,4.28,0.09,-0.09,1.43,0.07,-0.07
5976,355.950598,33.067236,14.046,0.037,-0.037,-29.305,0.021,-0.021,2459879.618086,0.002554,-0.002554,3.8553342,0.0006445,-0.0006445,1.895,6624.0,4.94518,0.273157,-0.273157,3909.0,157.0,-157.0,4.65,0.01,-0.01,0.6,0.02,-0.02
5977,341.866559,52.395133,13.665,0.032,-0.032,10.157,0.039,-0.039,2459881.612767,0.000975,-0.000975,1.5554236,2.1e-06,-2.1e-06,1.916,18149.0,13.1166,,,5318.0,122.0,-122.0,4.39,,,1.01,,
5978,0.485039,35.997774,39.607,0.063,-0.063,-59.835,0.043,-0.043,2459867.415663,0.003088,-0.003088,8.555965,2.89e-05,-2.89e-05,1.865,12373.0,5.09342,0.256758,-0.256758,3376.0,157.0,-157.0,4.79,0.01,-0.01,0.44,0.01,-0.01
5979,354.340737,47.288669,0.417,0.044,-0.044,-4.429,0.036,-0.036,2459880.971907,0.002125,-0.002125,3.8857292,3.53e-05,-3.53e-05,1.928,6215.0,13.8034,,,6084.0,122.0,-122.0,3.99,,,1.79,,
